,GR,M2R1,M2R2,M2R3,M2R6,M2R9,DT,ZDEN,ZCOR,CNC,log,Formação
4429.8108,88.9991,2.4822,3.0263,3.3704,3.5322,3.5499,72.4955,2.514,-0.0267,16.5651,LIS_003,Itajai-Açu e Ilha Bela
4429.9632,88.8323,2.4841,3.036,3.3831,3.5478,3.5674,72.9735,2.5189,-0.0281,16.9376,LIS_003,Itajai-Açu e Ilha Bela
4430.1156,88.2742,2.4757,3.0323,3.3825,3.5495,3.5703,73.3749,2.5228,-0.0252,17.5089,LIS_003,Itajai-Açu e Ilha Bela
4430.268,88.706,2.46,3.0166,3.3688,3.5368,3.5581,73.6624,2.5216,-0.0259,18.124,LIS_003,Itajai-Açu e Ilha Bela
4430.4204,89.0627,2.437,2.9887,3.34,3.5074,3.5283,73.7679,2.5151,-0.0336,18.713,LIS_003,Itajai-Açu e Ilha Bela
4430.5728,87.906,2.4109,2.9546,3.3024,3.4674,3.4872,73.6632,2.5091,-0.0374,19.0401,LIS_003,Itajai-Açu e Ilha Bela
4430.7252,86.7361,2.384,2.9193,3.2614,3.4229,3.4412,73.4242,2.5081,-0.0343,18.7993,LIS_003,Itajai-Açu e Ilha Bela
4430.8776,85.9825,2.3596,2.8881,3.2238,3.3812,3.3977,73.1399,2.5108,-0.0326,18.1952,LIS_003,Itajai-Açu e Ilha Bela
4431.03,85.4138,2.3456,2.8708,3.2013,3.3548,3.3695,72.7732,2.5142,-0.0315,17.9422,LIS_003,Itajai-Açu e Ilha Bela
4431.1824,86.0304,2.3437,2.8676,3.1941,3.3443,3.3572,72.1962,2.5168,-0.0291,17.949,LIS_003,Itajai-Açu e Ilha Bela
4431.3348,86.9769,2.3473,2.8672,3.1896,3.3364,3.3474,71.3704,2.5174,-0.0292,17.6549,LIS_003,Itajai-Açu e Ilha Bela
4431.4872,86.417,2.3548,2.8654,3.1825,3.3257,3.3348,70.5348,2.5147,-0.03,17.4194,LIS_003,Itajai-Açu e Ilha Bela
4431.6396,85.0138,2.3743,2.8728,3.1848,3.3248,3.3319,70.0941,2.5062,-0.0327,17.6942,LIS_003,Itajai-Açu e Ilha Bela
4431.792,85.1102,2.4064,2.8946,3.2028,3.3401,3.3452,70.2441,2.494,-0.0365,17.8289,LIS_003,Itajai-Açu e Ilha Bela
4431.9444,86.8757,2.4236,2.9033,3.2072,3.3412,3.3443,70.8158,2.4867,-0.0347,17.4319,LIS_003,Itajai-Açu e Ilha Bela
4432.0968,88.7907,2.3968,2.8673,3.1638,3.2929,3.2939,71.4322,2.4887,-0.029,17.1143,LIS_003,Itajai-Açu e Ilha Bela
4432.2492,88.9686,2.3453,2.8084,3.0973,3.2208,3.22,71.7977,2.4955,-0.0284,17.2955,LIS_003,Itajai-Açu e Ilha Bela
4432.4016,87.929,2.3077,2.7696,3.0542,3.1736,3.1713,71.8829,2.5013,-0.0277,17.6748,LIS_003,Itajai-Açu e Ilha Bela
4432.554,87.5784,2.2905,2.7557,3.0389,3.1558,3.1523,71.8289,2.5029,-0.024,18.0008,LIS_003,Itajai-Açu e Ilha Bela
4432.7064,87.9809,2.2831,2.752,3.0346,3.1501,3.1454,71.7722,2.499,-0.0258,18.2413,LIS_003,Itajai-Açu e Ilha Bela
4432.8588,87.892,2.2838,2.7557,3.038,3.1528,3.1472,71.7785,2.4932,-0.0328,18.0276,LIS_003,Itajai-Açu e Ilha Bela
4433.0112,87.8306,2.2931,2.7676,3.0503,3.1652,3.1586,71.8451,2.4902,-0.0374,17.3054,LIS_003,Itajai-Açu e Ilha Bela
4433.1636,89.3457,2.3024,2.7768,3.0594,3.1744,3.1668,71.8922,2.4918,-0.037,16.7502,LIS_003,Itajai-Açu e Ilha Bela
4433.316,91.8293,2.3052,2.7743,3.0548,3.1694,3.1603,71.8252,2.4967,-0.034,16.8208,LIS_003,Itajai-Açu e Ilha Bela
4433.4684,93.9715,2.3174,2.7779,3.055,3.169,3.158,71.6136,2.5011,-0.033,17.1422,LIS_003,Itajai-Açu e Ilha Bela
4433.6208,94.3384,2.3662,2.8205,3.0956,3.2096,3.1962,71.2773,2.503,-0.0365,17.3235,LIS_003,Itajai-Açu e Ilha Bela
4433.7732,92.4819,2.4647,2.9204,3.1965,3.3118,3.2952,70.9034,2.5061,-0.041,17.4213,LIS_003,Itajai-Açu e Ilha Bela
4433.9256,90.095,2.6041,3.0724,3.3529,3.4705,3.4499,70.6016,2.5143,-0.0448,17.5735,LIS_003,Itajai-Açu e Ilha Bela
4434.078,89.3548,2.761,3.2551,3.5434,3.6639,3.6391,70.3831,2.5266,-0.0447,17.5937,LIS_003,Itajai-Açu e Ilha Bela
4434.2304,90.5387,2.9133,3.4478,3.7481,3.8718,3.8431,70.1672,2.5401,-0.0382,17.5839,LIS_003,Itajai-Açu e Ilha Bela
4434.3828,92.3494,3.0409,3.6243,3.9404,4.0678,4.0364,69.8724,2.5504,-0.0324,17.7438,LIS_003,Itajai-Açu e Ilha Bela
4434.5352,91.5658,3.095,3.7151,4.0452,4.1753,4.1434,69.4623,2.5499,-0.0326,17.7034,LIS_003,Itajai-Açu e Ilha Bela
4434.6876,87.3345,3.0314,3.6541,3.9884,4.1186,4.0896,69.012,2.5387,-0.0317,17.2342,LIS_003,Itajai-Açu e Ilha Bela
4434.84,82.632,2.8985,3.4967,3.8271,3.9567,3.9329,68.6678,2.528,-0.0277,16.5391,LIS_003,Itajai-Açu e Ilha Bela
4434.9924,80.316,2.7871,3.3601,3.6874,3.8191,3.8016,68.5224,2.5248,-0.0269,15.8827,LIS_003,Itajai-Açu e Ilha Bela
4435.1448,80.4404,2.7299,3.2894,3.6189,3.7569,3.7461,68.5822,2.5236,-0.0295,15.6143,LIS_003,Itajai-Açu e Ilha Bela
4435.2972,80.7427,2.7185,3.2749,3.6116,3.7596,3.7559,68.8243,2.5201,-0.0321,15.6384,LIS_003,Itajai-Açu e Ilha Bela
4435.4496,80.049,2.7341,3.2932,3.6408,3.8008,3.8046,69.2013,2.5184,-0.0326,15.5922,LIS_003,Itajai-Açu e Ilha Bela
4435.602,79.62,2.7423,3.3049,3.6631,3.835,3.846,69.5887,2.5207,-0.0294,15.6356,LIS_003,Itajai-Açu e Ilha Bela
4435.7544,79.4937,2.7278,3.2934,3.6601,3.8415,3.8592,69.8014,2.5239,-0.0238,15.907,LIS_003,Itajai-Açu e Ilha Bela
4435.9068,77.5905,2.7324,3.31,3.6871,3.8776,3.9012,69.6592,2.527,-0.0193,15.783,LIS_003,Itajai-Açu e Ilha Bela
4436.0592,74.8946,2.7864,3.3878,3.7792,3.9795,4.0083,69.2105,2.5321,-0.0189,15.0712,LIS_003,Itajai-Açu e Ilha Bela
4436.2116,75.3514,2.8346,3.4515,3.8505,4.0564,4.0889,68.8311,2.5374,-0.0264,14.3672,LIS_003,Itajai-Açu e Ilha Bela
4436.364,79.197,2.7974,3.3976,3.7856,3.9865,4.0201,68.8834,2.539,-0.0384,14.2382,LIS_003,Itajai-Açu e Ilha Bela
4436.5164,82.2794,2.7007,3.262,3.6261,3.8148,3.8471,69.4784,2.5379,-0.0429,14.7959,LIS_003,Itajai-Açu e Ilha Bela
4436.6688,82.6096,2.6262,3.1548,3.497,3.6737,3.704,70.6983,2.5375,-0.0384,15.696,LIS_003,Itajai-Açu e Ilha Bela
4436.8212,82.9342,2.592,3.1032,3.4298,3.5976,3.6257,72.7735,2.5404,-0.0341,16.2147,LIS_003,Itajai-Açu e Ilha Bela
4436.9736,84.0987,2.5723,3.0734,3.3877,3.5483,3.574,75.6961,2.5455,-0.0339,16.3484,LIS_003,Itajai-Açu e Ilha Bela
4437.126,82.9078,2.5693,3.0617,3.3665,3.522,3.5453,78.6688,2.5481,-0.038,16.4635,LIS_003,Itajai-Açu e Ilha Bela
4437.2784,79.1989,2.6082,3.095,3.3957,3.5493,3.5707,80.1793,2.547,-0.0403,16.31,LIS_003,Itajai-Açu e Ilha Bela
4437.4308,76.6144,2.6841,3.1686,3.4704,3.625,3.6447,79.0841,2.5498,-0.0393,15.5948,LIS_003,Itajai-Açu e Ilha Bela
